"frame"	"timestamp"	"original_position"	"position"	"delta_x"	"delta_z"	"left_rotation"	"right_rotation"	"base_oapcity"	"left_opacity"	"right_opacity"	"auto_tick"	"auto_duration"	"auto_spacing"	"framerate"	"A_button"	"B_button"	"right_trigger"
0	24-07-2014 12-30-23-602	(-1.6, 1.0, 0.0)	(-1.6, 1.0, 0.0)	0	0	(0.0, 0.7, 0.0, 0.8)	(0.0, 0.7, 0.0, 0.8)	1	1	1	False	0	0	226.5318	False	False	0
1	24-07-2014 12-30-23-631	(-1.6, 1.0, 0.0)	(-1.6, 1.0, 0.0)	0.0004836321	0	(0.0, 0.7, 0.0, 0.8)	(0.0, 0.7, 0.0, 0.8)	1	1	1	False	0	0	144.9572	False	False	0
2	24-07-2014 12-30-23-676	(-1.6, 1.0, 0.0)	(-1.6, 1.0, 0.0)	0.0009527206	0	(0.0, 0.7, 0.0, 0.8)	(0.0, 0.7, 0.0, 0.8)	1	1	1	False	0	0	93.87831	False	False	0
3	24-07-2014 12-30-23-704	(-1.6, 1.0, 0.0)	(-1.6, 1.0, 0.0)	0.001407743	0	(0.0, 0.7, 0.0, 0.8)	(0.0, 0.7, 0.0, 0.8)	1	1	1	False	0	0	80.39326	False	False	0
4	24-07-2014 12-30-23-750	(-1.6, 1.0, 0.0)	(-1.6, 1.0, 0.0)	0.001849055	0	(0.0, 0.7, 0.0, 0.8)	(0.0, 0.7, 0.0, 0.8)	1	1	1	False	0	0	63.38351	False	False	0
5	24-07-2014 12-30-23-779	(-1.6, 1.0, 0.0)	(-1.6, 1.0, 0.0)	0.002277136	0	(0.0, 0.7, 0.0, 0.8)	(0.0, 0.7, 0.0, 0.8)	1	1	1	False	0	0	58.32709	False	False	0
6	24-07-2014 12-30-23-824	(-1.6, 1.0, 0.0)	(-1.6, 1.0, 0.0)	0.002692342	0	(0.0, 0.7, 0.0, 0.8)	(0.0, 0.7, 0.0, 0.8)	1	1	1	False	0	0	50.31817	False	False	0
7	24-07-2014 12-30-23-856	(-1.6, 1.0, 0.0)	(-1.6, 1.0, 0.0)	0.00309515	0	(0.0, 0.7, 0.0, 0.8)	(0.0, 0.7, 0.0, 0.8)	1	1	1	False	0	0	47.39918	False	False	0
8	24-07-2014 12-30-23-888	(-1.6, 1.0, 0.0)	(-1.6, 1.0, 0.0)	0.003485918	0	(0.0, 0.7, 0.0, 0.8)	(0.0, 0.7, 0.0, 0.8)	1	1	1	False	0	0	44.96724	False	False	0
9	24-07-2014 12-30-23-933	(-1.6, 1.0, 0.0)	(-1.6, 1.0, 0.0)	0.003864884	0	(0.0, 0.7, 0.0, 0.8)	(0.0, 0.7, 0.0, 0.8)	1	1	1	False	0	0	40.85669	False	False	0
