"frame"	"timestamp"	"original_position"	"position"	"delta_x"	"delta_z"	"left_rotation"	"left_x"	"left_y"	"left_z"	"right_rotation"	"right_x"	"right_y"	"right_z"	"base_opacity"	"left_opacity"	"right_opacity"	"auto_tick"	"auto_duration"	"auto_spacing"	"framerate"	"A_button"	"B_button"	"right_trigger"
0	0	(-1.6, 1.0, 0.0)	(-1.6, 1.0, 0.0)	0	0	(0.0, 0.7, 0.0, 0.8)	0	82.37184	0	(0.0, 0.7, 0.0, 0.8)	0	82.37184	0	1	1	1	False	0	0	226.5318	False	False	0
28	1	(-1.6, 1.0, 0.0)	(-1.6, 1.0, 0.0)	0.00924921	0	(0.0, 0.7, 0.0, 0.8)	0	82.37184	0	(0.0, 0.7, 0.0, 0.8)	0	82.37184	0	1	1	1	False	0	0	28.65071	False	False	0
55	2	(-1.6, 1.0, 0.0)	(-1.6, 1.0, 0.0)	0.01310086	0	(0.0, 0.7, 0.0, 0.8)	0	82.37184	0	(0.0, 0.7, 0.0, 0.8)	0	82.37184	0	1	1	1	False	0	0	27.36493	False	False	0
83	3	(-1.6, 1.0, 0.0)	(-1.6, 1.0, 0.0)	0.01483297	0	(0.0, 0.7, 0.0, 0.8)	0	82.37184	0	(0.0, 0.7, 0.0, 0.8)	0	82.37184	0	1	1	1	False	0	0	27.24525	False	False	0
110	4	(-1.6, 1.0, 0.0)	(-1.6, 1.0, 0.0)	0.01555443	0	(0.0, 0.7, 0.0, 0.8)	0	82.37184	0	(0.0, 0.7, 0.0, 0.8)	0	82.37184	0	1	1	1	False	0	0	27.53275	False	False	0
137	5	(-1.6, 1.0, 0.0)	(-1.6, 1.0, 0.0)	0.01587105	0	(0.0, 0.7, 0.0, 0.7)	0	90	0	(0.0, 0.7, 0.0, 0.7)	0	90	0	1	1	1	False	0	0	26.90519	False	False	0
164	6	(-1.6, 1.0, 0.0)	(-1.6, 1.0, 0.0)	0.01601005	0	(0.0, 0.8, -0.1, 0.6)	9.114958	105.7086	-6.911194	(0.0, 0.8, -0.1, 0.6)	9.114958	105.7086	353.0888	1	1	1	False	0	0	26.50439	False	False	0
194	7	(-1.6, 1.0, 0.0)	(-1.6, 1.0, 0.0)	0.01607537	0	(0.2, 0.8, -0.3, 0.6)	39.58097	105.3128	-2.632416	(0.2, 0.8, -0.3, 0.6)	39.58097	105.3128	357.3676	1	1	1	False	0	0	32.75756	False	False	0
227	8	(-1.6, 1.0, 0.0)	(-1.6, 1.0, 0.0)	0.01610303	0	(0.0, 0.9, -0.1, 0.5)	9.684594	121.4296	-5.440308	(0.0, 0.9, -0.1, 0.5)	9.684594	121.4296	354.5597	1	1	1	False	0	0	31.88832	False	False	0
257	9	(-1.6, 1.0, 0.0)	(-1.8, 1.0, 0.0)	0.1709367	0	(0.0, 0.9, -0.1, 0.5)	9.684594	121.4296	-5.440308	(0.0, 0.9, -0.1, 0.5)	9.684594	121.4296	354.5597	1	1	1	False	0	0	30.14356	False	False	0
